YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,DEST,DEP_DEL15
2023,AUG,1,Tuesday,American Airlines,CLT,ORF,1
2022,SEP,30,Friday,Frontier Airlines,LIT,LAS,0
2023,MAY,4,Thursday,SkyWest Airlines,OKC,SLC,0
2023,JUL,13,Thursday,Allegiant Air,CAK,PGD,0
2023,JUL,6,Thursday,American Airlines,PHX,LAS,0
2022,DEC,16,Friday,JetBlue Airways,EWR,MIA,0
2023,APR,2,Sunday,Southwest Airlines,MKE,RSW,0
2023,JUL,21,Friday,Southwest Airlines,HOU,DAL,0
2023,JUL,10,Monday,Alaska Airlines,SEA,KTN,1
2023,AUG,28,Monday,PSA Airlines,CLT,GSP,0
2022,NOV,1,Tuesday,American Airlines,PHL,PHX,0
2023,FEB,18,Saturday,Southwest Airlines,MIA,BNA,1
2022,SEP,4,Sunday,Frontier Airlines,LAS,MCO,1
2023,APR,5,Wednesday,SkyWest Airlines,MGM,ATL,0
2022,NOV,10,Thursday,SkyWest Airlines,SNA,SFO,0
2023,JUL,16,Sunday,SkyWest Airlines,GRI,DFW,0
2023,JUL,30,Sunday,JetBlue Airways,FLL,SFO,0
2023,MAR,15,Wednesday,American Airlines,SFO,JFK,0
2023,JAN,31,Tuesday,Delta Air Lines,ATL,LAX,1
2023,JUL,11,Tuesday,Southwest Airlines,STL,PHL,1
2023,JAN,29,Sunday,Southwest Airlines,BWI,ORF,0
2023,APR,16,Sunday,Envoy Air,DFW,FSM,0
2023,AUG,22,Tuesday,SkyWest Airlines,LAX,SBP,0
2023,AUG,13,Sunday,Delta Air Lines,DTW,MEM,0
2022,SEP,1,Thursday,American Airlines,CLT,CLE,0
2022,NOV,29,Tuesday,Southwest Airlines,LAS,DEN,1
2022,AUG,17,Wednesday,Delta Air Lines,LEX,ATL,0
2022,OCT,21,Friday,Endeavor Air,CLE,LGA,0
2022,SEP,7,Wednesday,American Airlines,DFW,FLL,0
2023,JAN,19,Thursday,SkyWest Airlines,VEL,DEN,0
2023,MAY,8,Monday,United Air Lines,MDT,ORD,0
2023,MAY,18,Thursday,American Airlines,PHX,SAN,1
2023,MAR,6,Monday,Hawaiian Airlines,HNL,OGG,1
2023,MAY,18,Thursday,American Airlines,MRY,DFW,0
2023,JUN,24,Saturday,Southwest Airlines,MKE,BNA,0
2022,OCT,19,Wednesday,Southwest Airlines,BUR,LAS,0
2022,OCT,11,Tuesday,Hawaiian Airlines,OAK,HNL,0
2023,FEB,10,Friday,American Airlines,LAX,PHX,1
2023,JUL,6,Thursday,Delta Air Lines,MCO,ATL,0
2023,FEB,7,Tuesday,Spirit Air Lines,MCO,CLE,0
2022,NOV,17,Thursday,JetBlue Airways,MCO,BOS,0
2022,NOV,11,Friday,Southwest Airlines,BWI,RSW,0
2022,OCT,10,Monday,Delta Air Lines,JFK,LAX,1
2023,AUG,7,Monday,JetBlue Airways,JFK,ROC,1
2022,DEC,8,Thursday,United Air Lines,ORD,DFW,0
2023,MAR,17,Friday,American Airlines,CLT,BOS,0
2023,JUN,6,Tuesday,Delta Air Lines,MSP,EWR,0
2023,AUG,9,Wednesday,Delta Air Lines,ATL,CLE,0
