YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,DEP_DEL15,ARR_DEL15
2023,AUG,1,Tuesday,American Airlines,CLT,"Charlotte, NC",ORF,"Norfolk, VA",1,0
2022,SEP,30,Friday,Frontier Airlines,LIT,"Little Rock, AR",LAS,"Las Vegas, NV",0,0
2023,MAY,4,Thursday,SkyWest Airlines,OKC,"Oklahoma City, OK",SLC,"Salt Lake City, UT",0,0
2023,JUL,13,Thursday,Allegiant Air,CAK,"Akron, OH",PGD,"Punta Gorda, FL",0,0
2023,JUL,6,Thursday,American Airlines,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",0,0
2022,DEC,16,Friday,JetBlue Airways,EWR,"Newark, NJ",MIA,"Miami, FL",0,0
2023,APR,2,Sunday,Southwest Airlines,MKE,"Milwaukee, WI",RSW,"Fort Myers, FL",0,0
2023,JUL,21,Friday,Southwest Airlines,HOU,"Houston, TX",DAL,"Dallas, TX",0,0
2023,JUL,10,Monday,Alaska Airlines,SEA,"Seattle, WA",KTN,"Ketchikan, AK",1,1
2023,AUG,28,Monday,PSA Airlines,CLT,"Charlotte, NC",GSP,"Greer, SC",0,0
2022,NOV,1,Tuesday,American Airlines,PHL,"Philadelphia, PA",PHX,"Phoenix, AZ",0,0
2023,FEB,18,Saturday,Southwest Airlines,MIA,"Miami, FL",BNA,"Nashville, TN",1,1
2022,SEP,4,Sunday,Frontier Airlines,LAS,"Las Vegas, NV",MCO,"Orlando, FL",1,0
2023,APR,5,Wednesday,SkyWest Airlines,MGM,"Montgomery, AL",ATL,"Atlanta, GA",0,0
2022,NOV,10,Thursday,SkyWest Airlines,SNA,"Santa Ana, CA",SFO,"San Francisco, CA",0,0
2023,JUL,16,Sunday,SkyWest Airlines,GRI,"Grand Island, NE",DFW,"Dallas/Fort Worth, TX",0,0
2023,JUL,30,Sunday,JetBlue Airways,FLL,"Fort Lauderdale, FL",SFO,"San Francisco, CA",0,0
2023,MAR,15,Wednesday,American Airlines,SFO,"San Francisco, CA",JFK,"New York, NY",0,0
2023,JAN,31,Tuesday,Delta Air Lines,ATL,"Atlanta, GA",LAX,"Los Angeles, CA",1,0
2023,JUL,11,Tuesday,Southwest Airlines,STL,"St. Louis, MO",PHL,"Philadelphia, PA",1,1
2023,JAN,29,Sunday,Southwest Airlines,BWI,"Baltimore, MD",ORF,"Norfolk, VA",0,0
2023,APR,16,Sunday,Envoy Air,DFW,"Dallas/Fort Worth, TX",FSM,"Fort Smith, AR",0,0
2023,AUG,22,Tuesday,SkyWest Airlines,LAX,"Los Angeles, CA",SBP,"San Luis Obispo, CA",0,0
2023,AUG,13,Sunday,Delta Air Lines,DTW,"Detroit, MI",MEM,"Memphis, TN",0,0
2022,SEP,1,Thursday,American Airlines,CLT,"Charlotte, NC",CLE,"Cleveland, OH",0,0
